id,tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Kalimat_Alay,Kalimat_Abusive,Total_KA,Total_A,total_char,total_word,lebel,Type,apakah_ada_kata_enak
52677,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,"disaat,loe,yg,elo",bego,4,14,138,25,25,Anoying,0
52678,rt user: user siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,"user,ngasih,noh",sarap,5,13,120,21,21,Anoying,0
52679,"41. kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali-kali. kadang aku merasa tuhan itu ninggalkan aku sendirian. ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,"ninggalkan,orangtuaku",,0,20,254,37,37,Alay,0
52680,user user aku itu aku\n\nku tau matamu sipit tapi diliat dari mana itu aku',0,0,0,0,0,0,0,0,0,0,0,0,"user,user,diliat",sipit,5,14,75,14,14,Anoying,0
52681,user user kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,"user,user,kapir,udah,keliatan,dongok","cebong,dongok",12,31,89,14,14,Anoying,0
52682,user ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,"user,dkk","bani,taplak",10,7,73,6,6,Anoying,0
52683,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,"pilkada,hoax",,0,11,64,11,11,Alay,0
52684,gue baru aja kelar re-watch aldnoah zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! xd url,0,1,0,0,0,0,0,0,0,0,0,0,"aja,kelar,emang,cowonya,url",kampret,7,23,129,20,20,Anoying,0
52685,"nah admin belanja satu lagi port terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kaw kaw. ð??­; ; doket mano tu ? gerai rojak mertuaku - taipan 2 (depan twins baby &amp; romantika / bank islam senawang) ð???",0,0,0,0,0,0,0,0,0,0,0,0,"kaw,mano,tu,rojak,twins",,0,19,231,42,42,Alay,0
52686,user enak lg klo smbil ngewe',0,1,0,0,0,0,0,0,0,0,0,0,"user,lg,klo,smbil",,0,14,29,6,6,Alay,0
52687,"setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,"gw,sebelom,gw,lu",bacot,5,13,94,15,15,Anoying,0
52688,user user user user banci kaleng malu ga bisa jawab pertanyaan kami dari 2 hari lalu.... nyungsep koe user url,1,1,1,0,0,0,0,1,0,1,0,0,"user,user,user,user,ga,user,url",banci,5,25,110,20,20,Anoying,0
52689,kalo belajar ekonomi mestinya jago memprivatisasi hati orang. duh.. ironi user,0,0,0,0,0,0,0,0,0,0,0,0,"kalo,user",,0,8,78,11,11,Alay,0
52690,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi.... nyata,1,0,1,0,0,0,0,0,1,1,0,0,"huruhara,s",,0,9,74,10,10,Alay,0
52691,user bu guru enakan jadi jablay atau guru esde sih.\nkayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,"user,esde","jablay,pecun",11,8,93,15,15,Anoying,0
52692,"user user user user user user lawan bicara gw gak intelek kyk loe, yg otak gak punya. ttg kencing onta, gw mengakui hadis nabi dan itu sahih. kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,"user,user,user,user,user,user,gw,gak,kyk,yg,gak,ttg,gw,kyk,loe,loe",kafir,5,51,193,35,35,Anoying,0
52693,belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,fikiran,ampas,5,7,43,7,7,Anoying,0
52694,ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,"sarua,mah,repeh",,0,13,64,6,6,Alay,0
52695,jadi cowo itu harus gantle kalo ga gantle itu namanya banci !',1,1,0,1,0,0,0,1,0,0,1,0,"cowo,kalo,ga",banci,5,10,62,12,12,Anoying,0
52696,user slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,"user,slga",,0,8,35,5,5,Alay,0
52697,"asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,"asw,gua,tacut,wkkwkwkwkw,gua",,0,24,64,11,11,Alay,0
52698,user kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,"user,kalo,disakitin",noob,4,17,62,11,11,Anoying,0
52699,"user joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,"user,g",,0,5,248,33,33,Alay,0
